Data Generated by,Optosky,,,,
676,1835.5567,8417,8088,329,59.649426457468586
677,1837.6518,8312,7982,330,61.094381588329675
678,1839.7459,8193,7833,360,62.59176765997661
679,1841.8391,8156,7804,352,64.1453664845123
680,1843.9314,8050,7784,266,65.74868827849421
681,1846.0227,8072,7842,230,67.39059491136467
682,1848.1131,8332,8099,233,69.06670367952626
683,1850.2026,8518,8262,256,70.77118768982945
684,1852.2911,8620,8338,282,72.49249994124848
685,1854.3786,8619,8290,329,74.22062662857881
686,1856.4653,8658,8363,295,75.94068069951321
687,1858.551,8770,8495,275,77.63744413658985
688,1860.6358,8835,8517,318,79.31185079090322
689,1862.7196,8918,8631,287,80.96897799257383
690,1864.8025,8765,8491,274,82.60906232239596
691,1866.8845,8705,8431,274,84.23412989601614
692,1868.9655,8787,8507,280,85.84217065361501
693,1871.0456,8817,8504,313,87.4274379389127
694,1873.1248,8901,8591,310,88.9922151123707
695,1875.203,9018,8703,315,90.53750734333907
696,1877.2803,9020,8711,309,92.05211081166952
697,1879.3567,8871,8579,292,93.5235816863754
698,1881.4321,8708,8384,324,94.9350979451727
699,1883.5066,8634,8329,305,96.26814052957484
700,1885.5802,8623,8419,204,97.51874163763259
701,1887.6529,8658,8423,235,98.68516447832684
702,1889.7246,8697,8405,292,99.76132101295529
703,1891.7954,8738,8444,294,100.7425089278799
704,1893.8653,8671,8328,343,101.61485424332105
705,1895.9342,8667,8329,338,102.35982770234227
706,1898.0023,8775,8491,284,102.9704846771488
707,1900.0694,8784,8466,318,103.43964387958391
708,1902.1355,8651,8322,329,103.75019818458281
709,1904.2008,8593,8322,271,103.88816506103105
710,1906.2651,8547,8272,275,103.83476443320859
711,1908.3285,8543,8227,316,103.57251760117961
712,1910.391,8436,8175,261,103.11052811330879
713,1912.4526,8373,8101,272,102.46607129335506
714,1914.5132,8406,8103,303,101.6516356351837
715,1916.573,8347,8052,295,100.68373590174238
716,1918.6318,8367,8067,300,99.57355804633352
717,1920.6897,8462,8195,267,98.32864246653824
718,1922.7466,8558,8260,298,96.96738219806213
719,1924.8027,8653,8315,338,95.50794292621568
720,1926.8578,8413,8100,313,93.95602188081455
721,1928.9121,8345,8081,264,92.31629893986418
722,1930.9654,8479,8231,248,90.59056973162097
723,1933.0178,8473,8160,313,88.77916890196292
724,1935.0692,8360,8111,249,86.89550944839159
725,1937.1198,8414,8192,222,84.9555013057016
726,1939.1694,8422,8180,242,82.97041169303643
727,1941.2182,8349,8119,230,80.95232290458418
728,1943.266,8246,8028,218,78.90723138298658
729,1945.3129,8308,8041,267,76.83728528304579
730,1947.3589,8395,8120,275,74.75224319680926
731,1949.404,8433,8178,255,72.66119762680708
732,1951.4482,8428,8161,267,70.56447482668973
733,1953.4915,8327,8034,293,68.4632202878525
734,1955.5339,8194,7966,228,66.35555636622442
735,1957.5753,8137,7942,195,64.23901300152846
736,1959.6159,8078,7775,303,62.127385199979834
737,1961.6556,7968,7664,304,60.03927114725348
